date;time;corrosion;replicate;mussel_no;temp;mod_temp;ref.pic;notes
22/08/2023;30;corroded;1;1;35,6;35,6;M1;wind gust
22/08/2023;30;corroded;1;2;35,5;35,5;M2;wind gust
22/08/2023;30;corroded;1;3;35,4;35,4;M3;wind gust
22/08/2023;30;corroded;1;4;34,7;34,7;M4;wind gust
22/08/2023;30;corroded;1;5;34,6;34,6;M5;wind gust
22/08/2023;30;corroded;2;1;34,1;34,1;M1;wind gust
22/08/2023;30;corroded;2;2;34,6;34,6;M2;wind gust
22/08/2023;30;corroded;2;3;34,2;34,2;M3;wind gust
22/08/2023;30;corroded;2;4;34,5;34,5;M4;wind gust
22/08/2023;30;corroded;2;5;35,4;35,4;M5;wind gust
22/08/2023;30;non corroded;1;1;38,1;38,1;M1;wind gust
22/08/2023;30;non corroded;1;2;38;38;M2;wind gust
22/08/2023;30;non corroded;1;3;36,4;36,4;M3;wind gust
22/08/2023;30;non corroded;1;4;34,2;34,2;M4;wind gust
22/08/2023;30;non corroded;1;5;35,5;35,5;M5;wind gust
22/08/2023;30;non corroded;2;1;35,3;35,3;M1;wind gust
22/08/2023;30;non corroded;2;2;35,1;35,1;M2;wind gust
22/08/2023;30;non corroded;2;3;36,5;36,5;M3;wind gust
22/08/2023;30;non corroded;2;4;37,1;37,1;M4;wind gust
22/08/2023;30;non corroded;2;5;36,7;36,7;M5;wind gust
22/08/2023;30;non corroded;3;1;39;39;M1;
22/08/2023;30;non corroded;3;2;36;36;M2;
22/08/2023;30;non corroded;3;3;37,8;37,8;M3;
22/08/2023;30;non corroded;3;4;36,3;36,3;M4;
22/08/2023;30;non corroded;3;5;35,4;35,4;M5;
22/08/2023;35;corroded;1;1;34,7;34,7;M1;
22/08/2023;35;corroded;1;2;34,8;34,8;M2;
22/08/2023;35;corroded;1;3;34,9;34,9;M3;
22/08/2023;35;corroded;1;4;35;35;M4;
22/08/2023;35;corroded;1;5;33,6;33,6;M5;
22/08/2023;35;corroded;2;1;33,8;33,8;M1;
22/08/2023;35;corroded;2;2;34;34;M2;
22/08/2023;35;corroded;2;3;33,9;33,9;M3;
22/08/2023;35;corroded;2;4;33,5;33,5;M4;
22/08/2023;35;corroded;2;5;33,8;33,8;M5;
22/08/2023;35;non corroded;1;1;38,3;38,3;M1;
22/08/2023;35;non corroded;1;2;35,8;35,8;M2;
